address,symbol,ath_source,stored_ath_mcap,fee_peak_mcap,undershoot,n_ticks,alert_time
13YRWhuYBvMqYYqWsBNs6j6K1CU2MNKx2d9c1xN9pump,GameBay,birdeye_running_max,68200.00,76743.70,0.1113,3388,1777855657.9228525
h9SH8czBTqgvYmUFbZoh79AE9tGQat9Fygm4psxpump,WOLF,birdeye_running_max,74320.00,37904.08,-0.9607,638,1777857183.4300964
EaVgvwzmQfFvodfnRAZ3aiwGiHnFacyMr4uVY4hrpump,GME,birdeye_running_max,68100.00,19183.42,-2.5499,41,1777857591.48934
H2e5f5bvMogLeEM8d2nudshXAPiTYFVerGzq82jspump,RC,birdeye_running_max,77440.00,84593.28,0.0846,5799,1777857720.9148374
CnaiPRZ9AS3FKE2ddbZHBGhqk3f2C3WvGptgy5Nfpump,Hold,birdeye_reseeded,51195.46,52210.34,0.0194,3877,1777862303.3979058
D65AmX9aCF3wY4F4iwcGAfMtTyabTiD3YDtaX4uLpump,alembic,birdeye_reseeded,49704.62,50560.30,0.0169,882,1777864313.1356072
5zApv2nVDAqKZeaCyfqRDuNoQ4HPMpH14xHzGpMipump,Wild,running_max,53120.00,57371.84,0.0741,3086,1777865067.1941073
HJPCJGoTgAcmog1QGWsZa9zBrkn6qYdwg6gtcLKopump,Starwars,birdeye_running_max,91140.00,107294.48,0.1506,5440,1777872704.84737
DEEu4U5JHY6KJtZZ9J6iSw6vwXTx4Rr9J3S3e1FBpump,kaluputics,birdeye_running_max,300400.00,132593.05,-1.2656,4007,1777872850.1267788
9G1zNeURqRwsKrwHTvMGZgP8ZiRAtA4pqorfQxLfpump,HOPE,birdeye_corrected,120713.36,122586.50,0.0153,3339,1777873807.472846
DL9hmjTAUuUtZwxdqxndVa1D6gj1os5sApy2z7tNpump,赤べこ,birdeye_running_max,64710.00,69277.89,0.0659,3694,1777877331.951862
FESx6q1owjzTqaysjSkcaJRBKvNAcE6TEwSuaY65pump,trollhouse,running_max,193300.00,125328.61,-0.5423,5673,1777880909.7359457
H9t7c2eLeJR8FisreRjiF3jAiJux6Jx48UgNv2AXpump,P,birdeye,62372.29,66777.64,0.0660,2792,1777888090.108956
5hit472rLGpQEgZ7bmMQ6nSrCRaMbxDozPYBuZXppump,Analyze ,birdeye_reseeded,59632.58,64974.60,0.0822,6054,1777891168.1286404
21F5wh2fTCaExbHapCucSyK4BhWtbLDdksx1DoXzpump,ILHAMRAFLI,birdeye_reseeded,56187.75,58124.62,0.0333,4741,1777892185.7517092
41oRj6P9XLscFZHtp9AJ2445S2nVx1wVuESv2VpYpump,Popplio,birdeye_reseeded,67858.90,70248.51,0.0340,4006,1777896608.0176022
ALj5xDuSecHi25Mp3BK68eLNXGsjFwRwX9vpC54Hpump,ILHAMR,birdeye_running_max,152300.00,158879.80,0.0414,8042,1777897351.0428364
8aphgdwh4QcXAnpPXqPpnyZLxjoPqYNfx43tGHHBpump,USD1,birdeye_reseeded,59426.03,61396.32,0.0321,4856,1777897872.7215433
49W2m3HoM9xXPsMUmfwVs9BNaqnZZLD8T65cP4irpump,Y,birdeye_running_max,65070.00,46379.93,-0.4030,3534,1777899063.6047413
9LQ3ruKXhXoMJk5334bunknq1kUErXJjdFkAJXrapump,AverageGuy,running_max,219100.00,132153.90,-0.6579,1294,1777899621.2823095
FWFxApcNTRDd9DgmHtS79eW18JJNKb1CZ2svuvKBpump,Morsecoin,birdeye_reseeded,52014.70,53767.93,0.0326,2940,1777899665.932203
B2KeXhbF4qpNBuHhEbUpnJo7HvKZaC1JyBTN5zMGpump,KOSPI6900,birdeye_running_max,204300.00,219359.52,0.0687,17990,1777901631.0959902
9BfCxJqVst2HrmXvcEJrxbi4uYnB7Hx4R6J63aM6pump,DMC,birdeye_reseeded,296989.52,302188.31,0.0172,20232,1777906981.8865912
3WcGPqP2VciKqxa51sTwdamF1FVeFAfsb5Pd6MASpump,DMC,birdeye_running_max,294600.00,338455.80,0.1296,14979,1777909531.8326364
8Bdum5DBYXqqi5BeGej45vKVifELQM7pASUfysLTpump,JETDOG,birdeye_running_max,131800.00,49877.73,-1.6425,145,1777909927.133128
Y4vtfnvGSTe2exSm94SXUq3684MGWwWEhXzASkupump,trollina,birdeye_running_max,156600.00,62758.63,-1.4953,1202,1777911124.209881
